author,model,downloads,likes,lastModified,security
christinacdl,OLID_OFFENSIVE_BERT_MULTILINGUAL,2,0,2023-06-27T12:30:22.000Z,None
FredZhang7,one-for-all-toxicity-v3,76,0,2023-08-23T19:36:46.000Z,None
l3cube-pune,me-hate-bert,15,0,2023-08-26T08:15:59.000Z,None
henrystoll,hatespeech-refugees,13,0,2023-08-04T15:35:23.000Z,None
KoalaAI,OffensiveSpeechDetector,28,1,2023-08-21T16:09:01.000Z,None
KoalaAI,HateSpeechDetector,21,0,2023-08-21T16:11:54.000Z,None
Jayveersinh-Raj,Gujarati_hatespeech_extension,94,1,2023-08-25T11:44:59.000Z,None
okaris,autotrain-hate-speech-3k-89642143970,6,0,2023-09-17T06:23:59.000Z,None
tensor-trek,distilbert-toxicity-classifier,213,0,2023-09-18T20:53:28.000Z,None
qiuhuachuan,NSFW-detector,77,1,2023-09-27T02:42:03.000Z,None
